Get Out|8.00
Mulholland Drive|8.50
Breadwinner|6.80
First Man|8.80
Cloud Atlas|5.00
In the Mood for Love|9.60
Donnie Darko|7.20
The Favourite|7.70
Isle of Dogs|7.30
Big Trouble in Little China|7.00
I, Tonya|8.80
The Lord of the Rings: The Fellowship of the Ring|8.80
The Lord of the Rings: The Two Towers|8.90
The Lord of the Rings: The Return of the King|9.00
Enter the Dragon|6.00
Three Colors: Blue|8.80
Three Colors: White|8.00
Three Colors: Red|9.00
Fireworks|8.50
Amour|7.00
They Shall Not Grow Old|8.00
Yojimbo|8.80
EuroTrip|5.30
Raging Bull|8.20
Hard to Be a God|8.50
The Assassination of Jesse James by the Coward Robert Ford|7.30
North by Northwest|9.20
Invader ZIM: Enter the Florpus|3.80
Casino|8.10
Long Day's Journey Into Night|7.50
A City of Sadness|7.30
Hey Ram|6.40
Nausicaä of the Valley of the Wind|8.80
THX 1138|7.10
Hunt for the Wilderpeople|8.20
Waltz with Bashir|9.20
Cabin in the Woods|7.20
The Man from Earth|8.20
It's a Wonderful Life|7.30
Monos|7.20
The Intouchables|6.40
Koyaanisqatsi|6.50
Taipei Story|7.10
Holy Motors|3.00
Contagion|6.20
Rounders|6.40
Shoplifters|8.60
Playtime|7.00
Bad Genius|2.90
Brokeback Mountain|8.20
The Burial of Kojo|6.70
Ugetsu|7.20
Ida|9.00
Hero|8.50
Rope|7.30
Full Metal Jacket|8.90
Aguirre, the Wrath of God|7.10
Furious 7|7.20
Midsommar|8.50
Trial on the Road|5.80
Rebels of the Neon God|7.80
Kin-dza-dza!|8.10
Portrait of a Lady on Fire|9.50
Hamilton|9.50
The Good, the Bad and the Ugly|6.50
Incendies|9.00
Repo Man|6.90
Werckmeister Harmonies|7.50
Red Cliff|5.30
Shin Godzilla|8.70
Oldboy|9.00
Fruitvale Station|6.00
Woman in the Dunes|8.50
Huan tu|6.80
Pickpocket|8.00
Nocturnal Animals|8.90
The Queen|7.20
Birth|7.50
The Goonies|5.80
Sorcerer|7.80
Soul|8.60
The Devil Wears Prada|6.50
When Marnie Was There|9.00
The Music Room|7.10
Paprika|9.00
